hafasId;rmvId;name;nameLong;city;district;lat;lng
3060723;60723;Birkenweg;Frankfurt (Main) Birkenweg;Stadt Frankfurt a.M;Bockenheim;50,12154158;8,627858219
3001201;1201;Bockenheimer Warte;Frankfurt (Main) Bockenheimer Warte;Stadt Frankfurt a.M;Bockenheim;50,1199413;8,65397635
3001373;1373;Deutsche Bundesbank;Frankfurt (Main) Deutsche Bundesbank;Stadt Frankfurt a.M;Bockenheim;50,13626681;8,659761119
3001208;1208;Emser Straße;Frankfurt (Main) Emser Straße;Stadt Frankfurt a.M;Bockenheim;50,11412725;8,643001292
3001230;1230;Falkstraße;Frankfurt (Main) Falkstraße;Stadt Frankfurt a.M;Bockenheim;50,12117262;8,65086322
3001499;1499;Feldbahnmuseum;Frankfurt (Main) Feldbahnmuseum;Stadt Frankfurt a.M;Bockenheim;50,10659777;8,610850155
3001232;1232;Frauenfriedenskirche;Frankfurt (Main) Frauenfriedenskirche;Stadt Frankfurt a.M;Bockenheim;50,12910682;8,646497905
3001231;1231;Juliusstraße;Frankfurt (Main) Juliusstraße;Stadt Frankfurt a.M;Bockenheim;50,12523375;8,647071866
3060722;60722;Kasernenstraße;Frankfurt (Main) Kasernenstraße;Stadt Frankfurt a.M;Bockenheim;50,12312182;8,632852087
3001210;1210;Katharinenkreisel;Frankfurt (Main) Katharinenkreisel;Stadt Frankfurt a.M;Bockenheim;50,11593844;8,629984972
3001234;1234;Kirchplatz;Frankfurt (Main) Kirchplatz;Stadt Frankfurt a.M;Bockenheim;50,12507004;8,637717645
3001974;1974;Kuhwaldstraße;Frankfurt (Main) Kuhwaldstraße;Stadt Frankfurt a.M;Bockenheim;50,11684568;8,641177392
3001205;1205;Kurfürstenplatz;Frankfurt (Main) Kurfürstenplatz;Stadt Frankfurt a.M;Bockenheim;50,12104137;8,640279029
3001203;1203;Leipziger Straße;Frankfurt (Main) Leipziger Straße;Stadt Frankfurt a.M;Bockenheim;50,12257758;8,645749017
3000129;129;Leonardo-Da-Vinci-Allee;Frankfurt (Main) Leonardo-da-Vinci-Allee;Stadt Frankfurt a.M;Bockenheim;50,11345954;8,627934945
3001233;1233;Markus-Krankenhaus;Frankfurt (Main) Markus-Krankenhaus;Stadt Frankfurt a.M;Bockenheim;50,13665614;8,64567287
3011501;11501;Messe;Frankfurt (Main) Messe;Stadt Frankfurt a.M;Bockenheim;50,11130577;8,643483651
3001243;1243;Nauheimer Straße;Frankfurt (Main) Nauheimer Straße;Stadt Frankfurt a.M;Bockenheim;50,11682742;8,644001851
3001209;1209;Philipp-Reis-Straße;Frankfurt (Main) Philipp-Reis-Straße;Stadt Frankfurt a.M;Bockenheim;50,11471512;8,635461057
3001211;1211;Postsiedlung;Frankfurt (Main) Postsiedlung;Stadt Frankfurt a.M;Bockenheim;50,11876831;8,623754955
3001979;1979;Rebstockbad;Frankfurt (Main) Rebstockbad;Stadt Frankfurt a.M;Bockenheim;50,11370935;8,619041159
3001206;1206;Schönhof;Frankfurt (Main) Schönhof;Stadt Frankfurt a.M;Bockenheim;50,12414555;8,635333383
3001235;1235;Sophienstraße;Frankfurt (Main) Sophienstraße;Stadt Frankfurt a.M;Bockenheim;50,12773286;8,641151799
